text	label
Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]	Yes
Fighting poverty and global warming in Africa [link]	Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link]	Yes
Carbon offsets: How a Vatican forest failed to reduce global warming [link]	Yes
URUGUAY: Tools Needed for Those Most Vulnerable to Climate Change [link]	Yes
RT @sejorg: RT @JaymiHeimbuch: Ocean Saltiness Shows Global Warming Is Intensifying Our Water Cycle [link]	Yes
Global warming evidence all around us|A message to global warming deniers and doubters: Just look around our .. [link]	Yes
Migratory Birds' New Climate Change Strategy: Stay Home [link]	Yes
Southern Africa: Competing for Limpopo Water: Climate change will bring higher temperatures to Southe... [link]	Yes
Global warming to impact wheat, rice production in India|Ludhiana, Apr 18 : Scarcity of water will have a serious .. [link]	Yes
How do we solve this global warming thing? [link]	Yes
Blog|A preliminary analysis suggests that natural gas could contribute far more to global warming than previously .. [link]	Yes
Ecotone: #Climate change from a #population perspective [link]	Yes
Climate change blamed as coastal whale migration dwindles •À_ Ventura County.. [link]	Yes
Government Report Says Global Warming May Cause Cancer, Mental Illness.  CNSNews.com -  [link]	Yes
For #EarthDay Global warming could affect patient symptoms [link]	Yes
Wait here's an idea: it's natural climate change, not human induced global warming. [link]	No
EPA issues report on U.S. climate change indicators - warming is having measurable effect across ecosystems [link]	Yes
QUT researchers track climate change [link]	Yes
Global Warming: Ocean chemistry is changing faster than it has in 800,000 years: And that's because of the carbon ... [link]	Yes
Topography of Mountains Could Complicate Rates of Global Warming: ScienceDaily (Apr. 25, 2010) •À_ A new study concl... [link]	Yes
Soaring mercury; Blame it on global warming|Agartala, Apr 14 : Environmentalists have attributed the .. [link]	Yes
"RT @WGofNYC Leader of National Indigenous Women's Org, ""Climate Change is Not Just abt the Climate, its abt R Lives"" bit.ly/9GdzRw"	Yes
@GregMitch has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun	Yes
effects of global warming •À_ YouTube •À_ Effects of Global Warming Stats: Back with more news for you today. It's ama... [link]	Yes
It's global climate change-not warming. #ac Read: www.associatedcontent.com/article/2872954/global_climate_change_not_global_warming.html	Yes
A preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought. [link]	Yes
SCIENCE: Scientists explore the evolution of climate change [link]	Yes
Eaarth: global warming is here to stay, how will we deal with it? [link]	Yes
Allergies Worse Than Ever? Blame Global Warming [link]	Yes
@New_federalists  i have it on good auth tht global warming also causes toe fungus.  We R all fortunate tht thr IS no global warming! #tcot	No
Illegal war and the myth of global warming|My main campaign platform for this election will be the illegal .. [link]	No
the scientific community was scamed by global green  gov warming scam.	No
40 degrees in NYC. please urinate on next liberal global warming /climate change scum you see.	No
"RT @virgiltexas: Hey Al Gore: see these tornadoes racing across Mississippi? So much for global ""warming"" #tornadocot #ocra #sgp #gop #ucot #tlot #p2 #tycot"	No
#justinbiebersucks and global warming is a farce	No
One Stop Book Stop Confirmed! Global warming is 'settled' •À_ as a scam: WND.com Sussman's book, the ... [link]	No
Rationalists' who believe aliens exist & global warming=caused by humans, might as well believe in Jesus miracles,angels &fairies #tcot #p2	No
Proof there's no climate change. RT @jazgar 75-ft killer tsunami created in a Peruvian LAKE when a glacier fractures & falls Into the lake!	No
@OTOOLEFAN REAL science. Not Algore's climate change 'science' hacks with their man-made global warming hoax. Gore=Palin	No
30000 Anti-Global Warming Scientists Can't Be Wrong | Stranger ...: Nature Magazine, the academic journal that int... [link]	No
Global Warming Baloney: According to the experts at NASA, the difference between weather and climate is a measure ... [link]	No
computer forensics experts: are there still any idiots out there that belive global warming is true? [link]	No
Liberal Looney Toons: Global Warming Alarmist Comes Home With Artic Frost Bite: Gather.com they wont learn huh? lo... [link]	No
Immigration Reform and Climate Change: A Tale of Two Issues in the Senate [link]	Yes
Peoples World: GRAND RAPIDS, Mich. - Opponents of climate change legislation typically argue that regulating globa... [link]	Yes
Check this video out -- The Business of Climate Change Conference 2009 [link]	Yes
@SooperMexican Global warming. Clearly.	Yes
@andychrism Yes. I have heard at least one person make the connection between the volcano and global warming.	Yes
Environmental Groups Praise BASIC Meeting on Climate Change: Environmental groups are giving qualified praise to a... [link]	Yes
Recycling Water; Meat and Global Warming; Peanuts; Rare Grapes ... [link]	Yes
"Don Blankenship: Mine Safety Regulators ""As Silly as Global Warming"" [link]"	No
Street-corner Global-warming Counsel: Urgh, certain elements of this item in Sunday's Washington Post, •À_Five Myths... [link]	Yes
Are you ready for the climate change? PLI is with Environmental Regulation & Commercial Implications 2010: How the... [link]	Yes
LIVE TONIGHT: Fellow Heather Rogers joins Climate Change Expert James Hansen to discuss REAL solutions to Climate... [link]	Yes
Plan B: California Braces for Climate Change. [link]	Yes
Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]	Yes
@angiemartinez & it's about 2 be 86 degrees out here in NYC, shiiiiiitttt, fuck glodman/sachs, Obama better get a plan 4 this global warming	Yes
Plants effective way of tackling global warming|Washington, Apr 30 : Plant leaves account for less than one per .. [link]	Yes
Climate change & sustainability will be a key driver of future economic development. Listen at [link]	Yes
Frederic Hague at #PEN: climate change isn't just a alarm bell. It's a whole blinking discotech	Yes
US Generals say: Climate Change Threatens America's Security: The Pentagon has made it well known that it consider... [link]	Yes
Even the generals know climate change is going to screw us. [link]	Yes
Government Report Says Global Warming May Cause Cancer, Mental Illness [link]	Yes
RT @disturbedwater: Climate change increases heat waves, floods: EPA [link]	Yes
RT @sciencedaily: Plants remain an effective way of tackling global warming [link]	Yes
"So far in that class I have gotten into ""heated discussion"" with global climate change denier and w/ student that nothing is ""their fault."""	Yes
RT @Newsweek: Global Warming Kills Forests In Colorado [link]	Yes
EPA Confirms Climate IS Changing: In another display of the sea change that has occurred at the US Environmental P... [link]	Yes
Must See Places Before They Disappear! : Europe...[PICS]: If Global Warming Predictions prove to be true, the foll... [link]	Yes
RT @quixotecenter: Combating climate change: lessons from the world•À_s indigenous peoples [link]	Yes
@chrisdodd: I live in CT. Please support the climate bill and strong action on climate change!	Yes
RT @danlatorre: James Hansen/Heather Rogers, Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 [link]	Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	Yes
Climate change melts two glaciers|BILLINGS, Mont. ? Glacier National Park has lost two more of its namesake .. [link]	Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon [link]	Yes
RT @danielsaudade: What beautiful fall weather this morning, New York! Thanks climate change! Bleh!	Yes
What beautiful fall weather this morning, New York! Thanks climate change! Bleh!	Yes
Climate Change Threatens Japan's Cherry Blossoms | Environment ...: If you aren't familiar with the culture, Japan... [link]	Yes
Wed @sciam podcast: Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]	Yes
Mountain Vs. Valley Temps Stretch Apart With Climate Change [link]	Yes
CLIMATE CHANGE: Forests Not for Absorbing Carbon, Say Activists [link]	Yes
Global warming report urges governments to act|BRUSSELS, Belgium (AP) - The world faces increased hunger and .. [link]	Yes
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]	Yes
Arctic rain in April 'is sign of global warming'|The Canadian Arctic has been hit by rain in a sign that the .. [link]	Yes
RT @Newsweek: Global Warming Kills Forests In Colorado [link]	Yes
Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]	Yes
Microbes Contribute Less to Global Warming|New Haven, Conn. .. [link]	Yes
South Asian nations to fight climate change: Foreign ministers of eight South Asian nations met in this secluded H... [link]	Yes
Climate change increases heat waves, floods|WASHINGTON (Reuters) - Deaths from heat waves, property damage from .. [link]	Yes
James Hansen & Heather Rogers - Green Gone Wrong: False Hope & Real Solutions to Climate Change - 7pm 4/30 @Demos_Org [link]	Yes
I LOVE FROG's LEAP!!!! Seriously. RT @grist: What climate change means for the wine industry (via @theclimatedesk) [link]	Yes
Report: Save the Whales and They'll Save Us from Global Warming [link]	Yes
Arctic Beauty in Black and White: Alaska Before the Effects of Global Warming [Slide Show]:  Toward the end of Wor... [link]	Yes
"#EPA report documents ""very real"" impacts from #climate change in 22 of 24 indicators studied: [link]"	Yes
#Canadian #CEOs more keen on #green than global counterparts; preparing for impacts of climate change...[link]	Yes
RT @carbonmarket: Ask the G8 & G20 to support #biochar. Fight climate change & food shortage! Check this HuffPo post: [link]	Yes
RT @christellar: Whale DooDoo could help fight #climate change? Sure! Why not!? [link]	Yes
Global warming science good news - Soils release less carbon than though as world warms: [link]	Yes
So it*s April 27th, Phoenix has 90•_Á weather & it might snow in New York today.. Hmmmm.. Global warming MUCH !	Yes
Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]	Yes
Higher temperature, sea level due to global warming|KUALA LUMPUR: Malaysia's average temperature has risen by 1.1 .. [link]	Yes
