,cleaned_text
0,rt rep trey radel r slams
1,video full higher costs broken promises
2,please join today remembering fallen heroes honoring men women currently military service sacrifices
3,rt st step toward senate debate leahycrapo bill senates procedural vote today pm
4,delivery show need update law promote protect bill
5,called release info inspections review quality rails
6,help us keep kidnapped nigerian school girls story front
7,show arizona pridechoose favorite az picture facebook cover photo retweet spread word
8,wonderful night state senator ken yagers chili supper benefitting boys girls clubs roane county
9,great oped pres clinton signing yrs ago today important law protecting workers
10,potus golfs pushes amnesty ignores keystone american people concerned jobs econ health care costs
11,president doesnt get decide doesnt like congress thing
12,fact recovery act cut taxes middleclass families kept teachers classroom police firefighters streets
13,rt telemedicine consults rural ers helps prevent prescription errors via
14,wouldnt wish anyone even skitch
15,pm sen give maiden senate speech need impt issue follow livetweets
16,come liberation bound mine let us work together lilla watson
17,health coverage starting jan st must sign end today
18,house vote week keep government open
19,tks margaret joining dc share successes niskayuna ncap saw education prevention substance abuse
20,great look back idaho native american tribes via
21,american astronaut neil armstrong stepped lunar landing module eagle walked surface moon
22,rt agree time change info released today
23,vote working families flexibility act would like flexibility choose youre compd overtime
24,reminder next week office holding mobile office hours sachse wylie learn
25,wks min video expanding medicaid help many families get affordable health care
26,thinking affected severe weather today especially oklahoma stay safe
27,remember bill friends stuck desk
28,slashing amtraks funding time increasing ridership hurt pas economy
29,american production creating holding prices promoting energy independence
30,spawning new concept medical homelessness
31,must read kidnapped libyan prime minister pays price obama leak
32,delaying refusing vote real life consequences million americans
33,office senator mcconnell congratulated welcomed senatorelect bill cassidy senate
34,dont like long island wine suggest giving wines try
35,six enrolled health site day via
36,federal funds help relieve congestion around
37,job well done members sc house representatives voted medicaid expansion yesterday
38,gearing coffee w constituents morning ks gretna cafe sure stop bylooking forward speaking w folks
39,dedicated public servant leadership missed wish best retirement
40,tale went right president barack obamas health care overhaul despite gop opposition
41,dc tomorrow want join us showing america us
42,fl delegation shining spotlight va health care sunshine state
43,meeting press
44,video speech house floor rejecting cuts jobs turns voucher
45,options raising billion negligible impact middleclass americans main street businesses
46,thanks li farm bureau hosting speak directly farmers issues important
47,years americans disabilities act opening doors tens millions americans
48,delight terror mt u see delight cory taught take selfie yesterday
49,rt basic science riskier investment compared applied research one larger potential payoffs
50,promising paying back us taxpayers reinforces yrs crash need help prevent another bailout
51,oil export strategy makes us middle man worsens senate shld reject
52,wtvwtv report mcconnell sponsors sunscreen innovation act playlist
53,need work together find real solutions
54,congrats last day session
55,demandar obama un recuento en creo q debera lee mi carta tweet para decirle lo q piensas
56,says isnt everything side wants point reasonable bipartisan support fix broken system
57,icymi spoke tonight north korea
58,hosting group today hill strengthening connections co leaders national defense
59,looking fwd book signing tomorrow bookstore info
60,today marks th time years pres obama missed legal deadline submit budget plan
61,come get help wfed agencies mobile office hrs th ampm acacia library e townley ave phx
62,obama economy isnt cutting hardworking americans
63,great see ft monroe authority ex dir oder dr wagner dr koch state region presentation hpt
64,joining roanoke hope youll tune
65,rt pentagon sgt stephen new bartlett tn died july bagram unit attacked small arms fire
66,dod secy chuck hagel reportedly charge exchange claimed doesnt know today via
67,clearer lerner covering tracks
68,hear recent discussion irelands begins
