,label,cleaned_text,tweet_length
0,neutral,what said,9
1,positive,plus youve added commercials to the experience tacky,52
2,neutral,i didnt today must mean i need to take another trip,51
3,negative,its really aggressive to blast obnoxious entertainment in your guests faces they have little recourse,101
4,negative,and its a really big bad thing about it,39
5,negative,seriously would pay a flight for seats that didnt have this playing its really the only bad thing about flying va,113
6,positive,yes nearly every time i fly vx this ear worm wont go away,57
7,neutral,really missed a prime opportunity for men without hats parody there,67
8,positive,well i didntbut now i do d,26
9,positive,it was amazing and arrived an hour early youre too good to me,61
10,neutral,did you know that suicide is the second leading cause of death among teens,74
11,positive,i pretty graphics so much better than minimal iconography d,59
12,positive,this is such a great deal already thinking about my nd trip to i havent even gone on my st trip yet p,101
13,positive,im flying your fabulous seductive skies again u take all the stress away from travel,84
14,positive,thanks,6
15,negative,sfopdx schedule is still mia,28
16,positive,so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america daystogo,120
17,negative,i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help,118
18,positive,i flying,8
19,positive,you know what would be amazingly awesome bosfll please i want to fly with only you,82
20,negative,why are your first fares in may over three times more than other carriers when all seats are available to select,112
21,positive,i love this graphic,19
22,positive,i love the hipster innovation you are a feel good brand,55
23,neutral,will you be making boslas non stop permanently anytime soon,59
24,negative,you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet,116
25,negative,status match program i applied and its been three weeks called and emailed with no response,91
26,negative,what happened ur vegan food options at least say on ur site so i know i wont be able eat anything for next hrs fail,115
27,neutral,do you miss me dont worry well be together very soon,52
28,negative,amazing to me that we cant get any cold air from the vents vx noair worstflightever roasted sfotobos,100
29,neutral,lax to ewr middle seat on a red eye such a noob maneuver sendambien andchexmix,78
30,negative,hi i just bked a cool birthday trip with you but i cant add my elevate no cause i entered my middle name during flight booking problems,135
31,neutral,are the hours of operation for the club at sfo that are posted online current,77
32,negative,help left expensive headphones on flight iad to lax today seat a no one answering lf number at lax,98
33,negative,awaiting my return phone call just would prefer to use your online selfservice option,85
34,positive,this is great news america could start flights to hawaii by end of year via,75
35,neutral,nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience,98
36,positive,moodlighting is the only way to fly best experience ever cool and calming moodlitmonday,87
37,positive,done and done best airline around hands down,44
38,neutral,when can i book my flight to hawaii,35
39,negative,your chat support is not working on your site,45
40,positive,view of downtown los angeles the hollywood sign and beyond that rain in the mountains,85
41,negative,hey first time flyer next week excited but im having a hard time getting my flights added to my elevate account help,116
42,neutral,plz help me win my bid upgrade for my flight laxsea,51
43,neutral,i have an unused ticket but moved to a new city where you dont fly how can i fly with you before it expires travelhelp,118
44,neutral,are flights leaving dallas for seattle on time feb,50
45,positive,im elevategold for a good reason you rock,41
46,neutral,dream,5
47,positive,wow this just blew my mind,26
48,neutral,after last night tribute soundofmusic oscars i think agree,58
49,neutral,all were entertaining,21
50,neutral,is flight on its way was supposed to take off minutes ago website still shows on time not in flight thanks,106
51,positive,julie andrews all the way though was very impressive no to,58
52,neutral,wish you flew out of atlanta soon,33
53,neutral,julie andrews hands down,24
54,neutral,will flights be leaving dallas for la on february th,52
55,negative,hi im so excited about your lgadal deal but ive been trying book since last week the page never loads thx,105
56,positive,you know it need it on my spotify stat guiltypleasures,54
57,positive,im lady gaga she is amazing,27
58,neutral,carrie,6
59,neutral,new marketing song let us know what you think,45
60,neutral,julie andrews first but lady gaga wowd me last night carrie meh,63
61,negative,i called a weeks ago about adding flights from to my elevatethey still havent shown uphelp,90
62,neutral,all are great but i have to go with carrieunderwood,51
63,neutral,sorry mary martin had it first,30
64,positive,love all three but you really cant beat the classics,52
65,neutral,flight dal to dca pm tried to check in could not status please,62
66,negative,heyyyy guyyyys been trying to get through for an hour can someone call me please,80
67,negative,hi virgin im on hold for minutes are there any earlier flights from la to nyc tonight earlier than pm,101
68,positive,congrats on winning the award for best deals from an airline us,63
69,negative,everything was fine until you lost my bag,41
70,neutral,need to change reservation have virgin credit card do i need to modify on phone to waive change fee or can i do online,118
71,neutral,i emailed your customer service team let me know if you need the tracking number,80
72,neutral,hi i just booked a flight but need to add baggage how can i do this,67
73,negative,your airline is awesome but your lax loft needs to step up its game for dirty tables and floors,95
74,positive,not worried its been a great ride in a new plane with great crew all airlines should be like this,97
75,positive,awesome i flew yall sat morning any way we can correct my bill,62
76,neutral,or watch some of the best student films in the country at feet cmfatfeet,72
77,neutral,first time flying you all do you have a different ratepolicy for media bags thanks,82
78,negative,what is going on with customer service is there anyway to speak to a human asap thank you,89
79,neutral,what happened to doom,21
80,negative,why cant you supp the biz traveler like and have customer service like neverflyvirginforbusiness,96
81,positive,ive applied more then once to be a member of the inflight crew teamim interested flightattendant dreampath g,108
82,negative,youre the best whenever i begrudgingly use any other airline im delayed and late flight,87
83,negative,i have no interesting flying with you after this i will cancelled flight my next four flights i plannedneverflyvirginforbusiness,128
84,negative,it was a disappointing experience which will be shared with every business traveler i meet neverflyvirgin,105
85,negative,im having trouble adding this flight my wife booked to my elevate account help,78
86,neutral,cant bring up my reservation online using flight booking problems code,70
87,neutral,random q whats the distribution of elevate avatars i bet that kitty has a disproportionate share,96
88,neutral,i flying va but life happens and i am trying to change my trip jperhi can you helpva home page will not let me,110
89,negative,why is the site down when will it be back up,44
